PlayerID,Player,Team,Salary,Rk,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_y,Age_Sq,MIN_VAL,PTS_VAL,REB_VAL,AST_VAL,STL_VAL,BLK_VAL,TOV_VAL,SPV,SPV_Offense,SPV_Defense,SPV_per_min,cluster,cluster_per_min
barrerj01,RJ Barrett,TOR,25794643.0,41.0,24.0,SF,58.0,58.0,32.2,7.9,16.9,0.468,1.8,5.3,0.35,6.1,11.7,0.522,0.523,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,,16.5,0.547,0.312,0.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,0.6,1.7,2.4,0.061,1.2,-0.7,0.6,1.2,,576.0,32.2,21.1,7.371,12.096000000000002,1.7600000000000002,0.69,-6.16,69.05700000000002,71.556,42.021,1.1446273291925464,1,0
harrito02,Tobias Harris,DET,25365854.0,116.0,32.0,PF,73.0,73.0,31.6,5.3,11.0,0.477,1.2,3.6,0.345,4.0,7.4,0.542,0.534,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,,13.9,0.571,0.328,0.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,0.108,-0.5,0.6,0.1,1.2,,1024.0,31.6,13.7,6.903000000000001,4.928000000000001,2.2,1.8399999999999999,-2.64,58.531000000000006,52.867999999999995,42.543000000000006,0.8522468354430379,1,1
jacksja02,Jaren Jackson Jr.,MEM,25257798.0,35.0,25.0,C,74.0,74.0,29.8,8.0,16.4,0.488,2.0,5.3,0.375,6.0,11.1,0.541,0.548,4.2,5.4,0.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,,19.6,0.591,0.321,0.328,4.4,15.5,10.0,10.1,1.9,4.7,9.9,28.1,3.2,3.2,6.4,0.139,1.6,0.8,2.3,2.4,,625.0,29.8,22.2,6.5520000000000005,4.48,2.64,3.4499999999999997,-4.620000000000001,64.502,61.10000000000001,42.44200000000001,1.164496644295302,1,0
isaacjo01,Jonathan Isaac,ORL,25000000.0,365.0,27.0,PF,71.0,1.0,15.4,1.9,4.6,0.414,0.5,2.1,0.258,1.3,2.4,0.549,0.474,1.0,1.5,0.682,1.7,2.7,4.4,0.6,0.9,1.1,0.5,1.3,5.4,,16.6,0.512,0.466,0.33,12.0,21.5,16.5,5.5,2.8,7.0,8.2,16.2,0.8,2.5,3.4,0.148,-1.1,1.8,0.7,0.7,,729.0,15.4,5.4,5.1480000000000015,1.344,1.9800000000000002,2.53,-1.1,30.702,23.244000000000003,25.058000000000003,0.9936363636363637,2,1
brunsja01,Jalen Brunson,NYK,24960001.0,10.0,28.0,PG,65.0,65.0,35.4,9.0,18.5,0.488,2.3,6.1,0.383,6.7,12.4,0.539,0.551,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,,21.6,0.605,0.331,0.373,1.4,7.9,4.7,32.3,1.3,0.3,10.5,29.5,6.8,1.4,8.3,0.172,4.7,-1.3,3.3,3.1,,784.0,35.4,26.0,3.3930000000000002,16.352,1.9800000000000002,0.22999999999999998,-5.5,77.855,83.252,41.00299999999999,1.1992937853107344,1,0
roziete01,Terry Rozier,MIA,24924126.0,171.0,30.0,PG,64.0,23.0,25.9,3.9,9.9,0.391,1.4,4.8,0.295,2.5,5.1,0.48,0.462,1.4,1.7,0.852,0.7,3.0,3.7,2.6,0.6,0.2,1.2,1.1,10.6,,10.5,0.497,0.485,0.17,3.0,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1.0,0.029,-2.6,-1.0,-3.7,-0.7,,900.0,25.9,10.6,4.329000000000001,5.824000000000001,1.32,0.45999999999999996,-2.64,45.793,44.964,32.009,0.7680694980694981,2,2
kuzmaky01,Kyle Kuzma,MIL,24456061.0,96.0,29.0,PF,32.0,30.0,27.7,6.0,14.2,0.42,1.4,5.0,0.281,4.6,9.2,0.495,0.469,1.8,3.1,0.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,,10.6,0.488,0.352,0.215,3.1,18.6,10.8,14.7,1.1,0.7,12.8,27.1,-1.7,0.4,-1.3,-0.068,-3.0,-2.3,-5.2,-0.7,,841.0,27.7,15.2,6.7860000000000005,5.6000000000000005,1.32,0.45999999999999996,-5.06,52.006,53.56,36.266,0.8774729241877258,2,1
greendr01,Draymond Green,GSW,24107143.0,224.0,34.0,PF,68.0,66.0,29.2,3.2,7.5,0.424,1.2,3.6,0.325,2.0,3.9,0.517,0.503,1.5,2.2,0.687,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0,,12.4,0.534,0.483,0.289,3.9,19.0,11.2,26.2,2.4,3.4,23.3,15.9,0.3,3.4,3.7,0.088,-2.3,2.8,0.5,1.3,,1156.0,29.2,9.0,7.1370000000000005,12.544,3.3000000000000003,2.3,-5.720000000000001,57.760999999999996,56.464,41.937,0.9781164383561644,1,1
derozde01,DeMar DeRozan,SAC,23400000.0,33.0,35.0,SF,77.0,77.0,35.9,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,0.509,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,,17.7,0.569,0.196,0.337,2.0,10.1,6.0,18.7,1.1,1.1,6.5,25.0,5.7,1.4,7.1,0.123,1.2,-1.2,-0.1,1.3,,1225.0,35.9,22.2,4.563000000000001,9.856000000000002,1.7600000000000002,0.9199999999999999,-3.08,72.11900000000001,71.03599999999999,43.143,1.0088857938718663,1,1
bridgmi01,Mikal Bridges,NYK,23300000.0,71.0,28.0,SF,82.0,82.0,37.0,7.2,14.4,0.5,2.0,5.6,0.354,5.2,8.8,0.594,0.57,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,,14.0,0.585,0.391,0.1,2.7,7.0,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2.0,5.7,0.09,0.4,-0.9,-0.5,1.2,,784.0,37.0,17.6,3.7440000000000007,8.288000000000002,1.9800000000000002,1.15,-3.5200000000000005,66.24200000000002,66.408,43.873999999999995,0.7903243243243245,1,2
mcdanja02,Jaden McDaniels,MIN,23017242.0,140.0,24.0,PF,82.0,82.0,31.9,4.9,10.2,0.477,1.2,3.7,0.33,3.6,6.5,0.561,0.537,1.3,1.6,0.813,1.6,4.2,5.7,2.0,1.3,0.9,1.2,2.7,12.2,,13.3,0.562,0.363,0.153,5.6,14.2,10.0,9.0,2.1,2.6,9.6,16.3,2.3,3.9,6.3,0.115,-1.4,1.4,0.0,1.4,,576.0,31.9,12.2,6.669000000000001,4.48,2.8600000000000003,2.07,-2.64,57.538999999999994,51.22,43.499,0.803730407523511,1,1
brownbr01,Bruce Brown,NOP,23000000.0,254.0,28.0,PG,18.0,0.0,19.6,3.2,7.3,0.435,0.6,2.0,0.306,2.6,5.3,0.484,0.477,1.4,1.6,0.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4,,12.3,0.525,0.275,0.221,5.0,15.9,10.3,11.3,2.3,0.8,11.7,19.3,0.0,0.4,0.4,0.06,-2.7,0.2,-2.5,0.0,,784.0,19.6,8.4,4.446000000000001,3.5840000000000005,1.9800000000000002,0.45999999999999996,-2.4200000000000004,36.05,34.004,26.486000000000004,0.8392857142857142,2,1
